epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,428.809,0.72291,0.42419,1.04436,0.98483,0.99757,0.995,0.86095,0.62805,0.28414,0.98951,0.000125004,0.000125004,0.000125004
55,436.65,0.7358,0.43912,1.05441,0.98459,0.99367,0.99469,0.86062,0.62923,0.27975,0.98768,0.0001224,0.0001224,0.0001224
56,444.379,0.72136,0.43061,1.04012,0.98107,0.99691,0.99493,0.86511,0.61445,0.27822,0.98627,0.000119796,0.000119796,0.000119796
57,452.085,0.72077,0.43059,1.04794,0.98743,0.99335,0.99486,0.85661,0.61744,0.27774,0.99768,0.000117193,0.000117193,0.000117193
58,459.755,0.71163,0.44037,1.03542,0.98739,0.99123,0.99437,0.85726,0.62863,0.27304,0.99855,0.000114589,0.000114589,0.000114589
59,467.392,0.69645,0.39692,1.01689,0.98767,0.99632,0.99448,0.86388,0.59922,0.26861,0.97821,0.000111985,0.000111985,0.000111985
60,475.116,0.6918,0.42376,1.03193,0.98236,0.99909,0.99457,0.87921,0.55105,0.25246,0.94992,0.000109382,0.000109382,0.000109382
61,482.932,0.66704,0.41921,1.02062,0.99032,0.99634,0.99481,0.87612,0.5623,0.25394,0.95533,0.000106778,0.000106778,0.000106778
62,490.645,0.6584,0.4041,1.01421,0.98687,0.99718,0.99468,0.86926,0.58044,0.26154,0.95943,0.000104174,0.000104174,0.000104174
63,498.282,0.65595,0.41515,0.99988,0.98887,0.99601,0.99434,0.8822,0.52528,0.24669,0.93058,0.000101571,0.000101571,0.000101571
64,506.082,0.63591,0.38688,0.99093,0.96479,1,0.99449,0.89164,0.51565,0.25023,0.93815,9.89669e-05,9.89669e-05,9.89669e-05
65,513.845,0.63323,0.39478,1.00536,0.98815,0.99667,0.99466,0.89189,0.51379,0.24045,0.92872,9.63632e-05,9.63632e-05,9.63632e-05
66,521.624,0.62869,0.39416,0.99787,0.9893,0.99825,0.99488,0.89949,0.50163,0.23858,0.91736,9.37595e-05,9.37595e-05,9.37595e-05
67,529.674,0.61021,0.37907,0.98921,0.99029,0.99687,0.99493,0.89553,0.49368,0.23832,0.92248,9.11558e-05,9.11558e-05,9.11558e-05
68,538.31,0.61991,0.37598,0.9948,0.99089,0.99562,0.99476,0.89686,0.49149,0.242,0.91871,8.85521e-05,8.85521e-05,8.85521e-05
69,546.108,0.61451,0.39567,0.98499,0.98978,0.99562,0.99471,0.90547,0.47101,0.23425,0.91245,8.59484e-05,8.59484e-05,8.59484e-05
70,553.945,0.60139,0.37078,0.9939,0.98919,0.99829,0.99483,0.8975,0.49327,0.23457,0.9152,8.33447e-05,8.33447e-05,8.33447e-05
71,561.775,0.58889,0.3621,0.97802,0.99254,0.99902,0.99466,0.9069,0.46586,0.2284,0.90446,8.0741e-05,8.0741e-05,8.0741e-05
